Depth,Temp,Sal,,,,,,,,,,,,,,,,,
373,11.56,35.41,,,,,,,,,,,,,,,,,
374,11.79,35.43,,,,,,,,,,,,,,,,,
375,11.5,35.4,,,,,,,,,,,,,,,,,
376,11.77,35.43,,,,,,,,,,,,,,,,,
377,11.46,35.39,,,,,,,,,,,,,,,,,
378,11.74,35.43,,,,,,,,,,,,,,,,,
379,11.42,35.39,,,,,,,,,,,,,,,,,
380,11.72,35.43,,,,,,,,,,,,,,,,,
381,11.37,35.38,,,,,,,,,,,,,,,,,
382,11.69,35.42,,,,,,,,,,,,,,,,,
383,11.46,35.4,,,,,,,,,,,,,,,,,
384,11.67,35.42,,,,,,,,,,,,,,,,,
385,11.41,35.39,,,,,,,,,,,,,,,,,
387,11.29,35.37,,,,,,,,,,,,,,,,,
389,11.34,35.38,,,,,,,,,,,,,,,,,
391,11.59,35.41,,,,,,,,,,,,,,,,,
392,11.25,35.37,,,,,,,,,,,,,,,,,
393,11.2,35.36,,,,,,,,,,,,,,,,,
395,11.17,35.36,,,,,,,,,,,,,,,,,
397,11.16,35.35,,,,,,,,,,,,,,,,,
399,11.14,35.35,,,,,,,,,,,,,,,,,
401,11.14,35.35,,,,,,,,,,,,,,,,,
403,11.13,35.35,,,,,,,,,,,,,,,,,
405,11.07,35.34,,,,,,,,,,,,,,,,,
407,11.05,35.34,,,,,,,,,,,,,,,,,
409,11.01,35.33,,,,,,,,,,,,,,,,,
411,10.97,35.33,,,,,,,,,,,,,,,,,
413,11.2,35.36,,,,,,,,,,,,,,,,,
415,10.88,35.31,,,,,,,,,,,,,,,,,
417,10.85,35.31,,,,,,,,,,,,,,,,,
419,10.77,35.3,,,,,,,,,,,,,,,,,
421,10.87,35.32,,,,,,,,,,,,,,,,,
423,10.97,35.32,,,,,,,,,,,,,,,,,
425,10.61,35.27,,,,,,,,,,,,,,,,,
427,10.57,35.27,,,,,,,,,,,,,,,,,
429,10.9,35.32,,,,,,,,,,,,,,,,,
431,10.84,35.31,,,,,,,,,,,,,,,,,
433,10.5,35.26,,,,,,,,,,,,,,,,,
435,10.76,35.3,,,,,,,,,,,,,,,,,
437,10.42,35.25,,,,,,,,,,,,,,,,,
439,10.4,35.24,,,,,,,,,,,,,,,,,
441,10.39,35.24,,,,,,,,,,,,,,,,,
443,10.67,35.28,,,,,,,,,,,,,,,,,
445,10.6,35.28,,,,,,,,,,,,,,,,,
447,10.58,35.28,,,,,,,,,,,,,,,,,
449,10.57,35.28,,,,,,,,,,,,,,,,,
451,10.54,35.27,,,,,,,,,,,,,,,,,
453,10.25,35.23,,,,,,,,,,,,,,,,,
455,10.23,35.22,,,,,,,,,,,,,,,,,
457,10.22,35.22,,,,,,,,,,,,,,,,,
459,10.23,35.22,,,,,,,,,,,,,,,,,
461,10.24,35.23,,,,,,,,,,,,,,,,,
463,10.26,35.23,,,,,,,,,,,,,,,,,
465,10.21,35.23,,,,,,,,,,,,,,,,,
467,10.31,35.25,,,,,,,,,,,,,,,,,
469,10.12,35.21,,,,,,,,,,,,,,,,,
471,10.09,35.21,,,,,,,,,,,,,,,,,
473,10.04,35.21,,,,,,,,,,,,,,,,,
475,10.02,35.2,,,,,,,,,,,,,,,,,
477,10.13,35.22,,,,,,,,,,,,,,,,,
479,10,35.2,,,,,,,,,,,,,,,,,
481,9.99,35.2,,,,,,,,,,,,,,,,,
483,9.93,35.19,,,,,,,,,,,,,,,,,
484,9.93,35.18,,,,,,,,,,,,,,,,,
485,9.88,35.18,,,,,,,,,,,,,,,,,
486,9.91,35.17,,,,,,,,,,,,,,,,,
487,9.82,35.18,,,,,,,,,,,,,,,,,
488,9.79,35.17,,,,,,,,,,,,,,,,,
489,9.88,35.17,,,,,,,,,,,,,,,,,
490,9.78,35.17,,,,,,,,,,,,,,,,,
491,9.92,35.2,,,,,,,,,,,,,,,,,
493,9.94,35.2,,,,,,,,,,,,,,,,,
494,9.97,35.21,,,,,,,,,,,,,,,,,
495,9.75,35.16,,,,,,,,,,,,,,,,,
496,9.77,35.16,,,,,,,,,,,,,,,,,
497,9.72,35.16,,,,,,,,,,,,,,,,,
498,9.74,35.15,,,,,,,,,,,,,,,,,
499,9.9,35.21,,,,,,,,,,,,,,,,,
500,9.7,35.15,,,,,,,,,,,,,,,,,
501,9.89,35.2,,,,,,,,,,,,,,,,,
502,9.67,35.14,,,,,,,,,,,,,,,,,
504,9.76,35.18,,,,,,,,,,,,,,,,,
506,9.7,35.16,,,,,,,,,,,,,,,,,
507,9.62,35.14,,,,,,,,,,,,,,,,,
508,9.59,35.13,,,,,,,,,,,,,,,,,
510,9.56,35.13,,,,,,,,,,,,,,,,,
512,9.53,35.13,,,,,,,,,,,,,,,,,
514,9.53,35.13,,,,,,,,,,,,,,,,,
516,9.39,35.11,,,,,,,,,,,,,,,,,
518,9.42,35.11,,,,,,,,,,,,,,,,,
520,9.32,35.1,,,,,,,,,,,,,,,,,
522,9.61,35.17,,,,,,,,,,,,,,,,,
524,9.59,35.16,,,,,,,,,,,,,,,,,
526,9.57,35.16,,,,,,,,,,,,,,,,,
528,9.34,35.11,,,,,,,,,,,,,,,,,
